1|4) Qu' ose -je donc proposer? 
1	Qu'	que	PRO	PROWH	s=int	2	suj	_	_
8	lavande	lavande	N	NC	g=f|n=s|s=c	7	obj	_	_
9	et	et	C	CC	s=c	7	coord	_	_
10	d'	de	P	P	_	9	dep_coord	_	_
11	arbre	arbre	N	NC	g=m|n=s|s=c	10	obj	_	_
12	à	à	P	P	_	2	dep	_	_
13	thé	thé	N	NC	g=m|n=s|s=c	12	obj	_	_
14	(	(	PONCT	PONCT	s=w	2	ponct	_	_
15	tea-tree	tea-tree	N	NC	s=c	2	mod	_	_
16	)	)	PONCT	PONCT	s=w	2	ponct	_	_
17	,	,	PONCT	PONCT	s=w	18	ponct	_	_
18	ont	avoir	V	V	m=ind|n=p|p=3|t=pst	0	root	_	_
19	l'	le	D	DET	n=s|s=def	20	det	_	_
20	avantage	avantage	N	NC	g=m|n=s|s=c	18	obj	_	_
21	d'	de	P	P	_	20	dep	_	_
22	être	être	V	VINF	m=inf	21	obj	_	_
23	bactéricides	bactéricide	A	ADJ	n=p|s=qual	22	ats	_	_
24	mais	mais	C	CC	s=c|marker=304	18	coord	_	_
25	aussi	aussi	ADV	ADV	_|marker=208	24	mod	_	_
26	de	de	P	P	_	24	dep_coord	_	_
27	parfumer	parfumer	V	VINF	m=inf	26	obj	_	_
28	la	le	D	DET	g=f|n=s|s=def	29	det	_	_
29	lessive	lessive	N	NC	g=f|n=s|s=c	27	obj	_	_
30	lors_de	lors_de	P	P	_	27	mod	_	_
31	l'	le	D	DET	n=s|s=def	32	det	_	_
32	utilisation	utilisation	N	NC	g=f|n=s|s=c	30	obj	_	_
33	des	de	P+D	P+D	s=def	32	dep	_	_
34	noix	noix	N	NC	g=f|s=c	33	obj	_	_
35	de	de	P	P	_	34	dep	_	_
36	lavage	lavage	N	NC	g=m|n=s|s=c	35	obj	_	_
37	(	(	PONCT	PONCT	s=w	34	ponct	_	_
38	qui	qui	PRO	PROREL	s=rel	40	suj	_	_
39	ne	ne	ADV	ADV	s=neg	40	mod	_	_
40	laissent	laisser	V	V	m=ind|n=p|p=3|t=pst	34	mod_rel	_	_
41	aucun	aucun	D	DET	g=m|n=s|s=ind	42	det	_	_
42	parfum	parfum	N	NC	g=m|n=s|s=c	40	obj	_	_
43	sur	sur	P	P	_	42	dep	_	_
44	le	le	D	DET	g=m|n=s|s=def	45	det	_	_
45	linge	linge	N	NC	g=m|n=s|s=c	43	obj	_	_
46	)	)	PONCT	PONCT	s=w	27	ponct	_	_
47	.	.	PONCT	PONCT	s=s	18	ponct	_	_

42|201) Vous pouvez laver les couches avec le linge des autres membres de la famille( en_général à 40°), eh oui, même_s' il_y_a eu des selles( de toute façon, il ne reste pas grand-chose puisque les selles sont jetées dans les toilettes, et vous pouvez aussi rincer rapidement la couche avant le lavage). 
1	Vous	cln	CL	CLS	s=suj	2	suj	_	_
2	pouvez	pouvoir	V	V	m=ind|n=p|p=2|t=pst	0	root	_	_
3	laver	laver	V	VINF	m=inf	2	obj	_	_
4	les	le	D	DET	n=p|s=def	5	det	_	_
5	couches	couche	N	NC	g=f|n=p|s=c	3	obj	_	_
6	avec	avec	P	P	_	3	mod	_	_
7	le	le	D	DET	g=m|n=s|s=def	8	det	_	_
8	linge	linge	N	NC	g=m|n=s|s=c	6	obj	_	_
9	des	de	P+D	P+D	s=def	8	dep	_	_
10	autres	autre	A	ADJ	n=p|s=ind	11	mod	_	_
11	membres	membre	N	NC	g=m|n=p|s=c	9	obj	_	_
12	de	de	P	P	_	11	dep	_	_
13	la	le	D	DET	g=f|n=s|s=def	14	det	_	_
14	famille	famille	N	NC	g=f|n=s|s=c	12	obj	_	_
15	(	(	PONCT	PONCT	s=w	3	ponct	_	_
16	en_général	en_général	ADV	ADV	_	3	mod	_	_
17	à	à	P	P	_	3	mod	_	_
18	40°	40°	N	NC	s=c	17	obj	_	_
19	)	)	PONCT	PONCT	s=w	3	ponct	_	_
20	,	,	PONCT	PONCT	s=w	3	ponct	_	_
21	eh	eh	I	I	_	36	dep	_	_
22	oui	oui	ADV	ADV	_	21	mod	_	_
23	,	,	PONCT	PONCT	s=w	36	ponct	_	_
24	même_s'	même_se	C	CS	s=s	36	mod	_	_
25	il_y_a	il_y_a	V	V	m=ind	26	aux_tps	_	_
26	eu	avoir	V	VPP	g=m|m=part|n=s|t=past	24	obj	_	_
27	des	de	D	DET	_	28	det	_	_
28	selles	selles	N	NC	g=f|n=p|s=c	26	obj	_	_
29	(	(	PONCT	PONCT	s=w	26	ponct	_	_
30	de	de	P	P	_	26	mod	_	_
31	toute	tout	D	DET	g=f|n=s|s=ind	32	det	_	_
32	façon	façon	N	NC	g=f|n=s|s=c	30	obj	_	_
33	,	,	PONCT	PONCT	s=w	36	ponct	_	_
34	il	cln	CL	CLS	s=suj	36	suj	_	_
35	ne	ne	ADV	ADV	s=neg	36	mod	_	_
36	reste	rester	V	V	m=ind|n=s|p=3|t=pst	3	mod	_	_
37	pas	pas	ADV	ADV	s=neg	36	mod	_	_
38	grand-chose	grand-chose	N	NC	g=m|s=c	36	ats	_	_
39	puisque	puisque	C	CS	s=s	2	mod	_	_
40	les	le	D	DET	n=p|s=def	41	det	_	_
41	selles	selles	N	NC	g=f|n=p|s=c	43	suj	_	_
42	sont	être	V	V	m=ind|n=p|p=3|t=pst	43	aux_pass	_	_
43	jetées	jeter	V	VPP	g=f|m=part|n=p|t=past	39	obj	_	_
44	dans	dans	P	P	_	43	mod	_	_
45	les	le	D	DET	n=p|s=def	46	det	_	_
46	toilettes	toilette	N	NC	g=f|n=p|s=c	44	obj	_	_
47	,	,	PONCT	PONCT	s=w	2	ponct	_	_
48	et	et	C	CC	s=c	2	coord	_	_
49	vous	cln	CL	CLS	s=suj	50	suj	_	_
50	pouvez	pouvoir	V	V	m=ind|n=p|p=2|t=pst	48	dep_coord	_	_
51	aussi	aussi	ADV	ADV	_|marker=208	50	mod	_	_
52	rincer	rincer	V	VINF	m=inf	50	obj	_	_
53	rapidement	rapidement	ADV	ADV	_	52	mod	_	_
54	la	le	D	DET	g=f|n=s|s=def	55	det	_	_
55	couche	couche	N	NC	g=f|n=s|s=c	52	obj	_	_
56	avant	avant	P	P	_	52	mod	_	_
57	le	le	D	DET	g=m|n=s|s=def	58	det	_	_
58	lavage	lavage	N	NC	g=m|n=s|s=c	56	obj	_	_
59	)	)	PONCT	PONCT	s=w	58	ponct	_	_
60	.	.	PONCT	PONCT	s=s	2	ponct	_	_

43|202) Ainsi, vous ne ferez pas de lessive« supplémentaire» pour les couches. 
1	Ainsi	ainsi	ADV	ADV	_	5	mod	_	_
2	,	,	PONCT	PONCT	s=w	5	ponct	_	_
3	vous	cln	CL	CLS	s=suj	5	suj	_	_
4	ne	ne	ADV	ADV	s=neg	5	mod	_	_
5	ferez	faire	V	V	m=ind|n=p|p=2|t=fut	0	root	_	_
6	pas	pas	ADV	ADV	s=neg	5	mod	_	_
7	de	de	P	P	_	5	de_obj	_	_
8	lessive	lessive	N	NC	g=f|n=s|s=c	7	obj	_	_
9	«	«	PONCT	PONCT	s=w	5	ponct	_	_
10	supplémentaire	supplémentaire	A	ADJ	n=s|s=qual	5	ats	_	_
11	»	»	PONCT	PONCT	s=w	5	ponct	_	_
12	pour	pour	P	P	_	5	mod	_	_
13	les	le	D	DET	n=p|s=def	14	det	_	_
14	couches	couche	N	NC	g=f|n=p|s=c	12	obj	_	_
15	.	.	PONCT	PONCT	s=s	5	ponct	_	_

44|203) Peut-être ferez -vous aussi les lessives de couches à part, par_exemple si vous en avez beaucoup, suffisamment pour tourner plusieurs jours d' affilée. 
1	Peut-être	peut-être	ADV	ADV	_	2	mod	_	_
2	ferez	faire	V	V	m=ind|n=p|p=2|t=fut	0	root	_	_
3	-vous	cln	CL	CLS	s=suj	2	suj	_	_
4	aussi	aussi	ADV	ADV	_|marker=208	2	mod	_	_
5	les	le	D	DET	n=p|s=def	6	det	_	_
6	lessives	lessive	N	NC	g=f|n=p|s=c	2	obj	_	_
7	de	de	P	P	_	6	dep	_	_
8	couches	couche	N	NC	g=f|n=p|s=c	7	obj	_	_
9	à	à	P	P	_	2	mod	_	_
10	part	part	N	NC	n=s|s=c	9	obj	_	_
11	,	,	PONCT	PONCT	s=w	2	ponct	_	_
12	par_exemple	par_exemple	ADV	ADV	_|marker=37	2	mod	_	_
13	si	si	C	CS	s=s|marker=349	2	mod	_	_
14	vous	cln	CL	CLS	s=suj	16	suj	_	_
15	en	en	CL	CLO	p=3|s=obj	16	aff	_	_
16	avez	avoir	V	V	m=ind|n=p|p=2|t=pst	13	obj	_	_
17	beaucoup	beaucoup	ADV	ADV	_	16	mod	_	_
18	,	,	PONCT	PONCT	s=w	16	ponct	_	_
19	suffisamment	suffisamment	ADV	ADV	_	16	mod	_	_
20	pour	pour	P	P	_	16	mod	_	_
21	tourner	tourner	V	VINF	m=inf	20	obj	_	_
22	plusieurs	plusieurs	D	DET	n=p	23	det	_	_
23	jours	jours	N	NC	g=m|n=p|s=c	21	obj	_	_
24	d'	de	P	P	_	23	dep	_	_
25	affilée	affilée	N	NC	g=f|n=s|s=c	24	obj	_	_
26	.	.	PONCT	PONCT	s=s	2	ponct	_	_

45|208) On peut dire que plus le tissu est absorbant, donc efficace, et plus il met de temps à sécher. 
1	On	cln	CL	CLS	s=suj	2	suj	_	_
2	peut	pouvoir	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
3	dire	dire	V	VINF	m=inf	2	obj	_	_
4	que	que	C	CS	s=s	3	obj	_	_
5	plus	plus	ADV	ADV	s=neg	8	mod	_	_
6	le	le	D	DET	g=m|n=s|s=def	7	det	_	_
7	tissu	tissu	N	NC	g=m|n=s|s=c	8	suj	_	_
8	est	être	V	V	m=ind|n=s|p=3|t=pst	4	obj	_	_
9	absorbant	absorbant	A	ADJ	g=m|n=s|s=qual	8	ats	_	_
10	,	,	PONCT	PONCT	s=w	8	ponct	_	_
11	donc	donc	ADV	ADV	_|marker=131	8	mod	_	_
12	efficace	efficace	A	ADJ	n=s|s=qual	8	ats	_	_
13	,	,	PONCT	PONCT	s=w	8	ponct	_	_
14	et	et	C	CC	s=c	8	coord	_	_
15	plus	plus	ADV	ADV	s=neg	17	mod	_	_
16	il	cln	CL	CLS	s=suj	17	suj	_	_
17	met	mettre	V	V	m=ind|n=s|p=3|t=pst	14	dep_coord	_	_
18	de	de	P	P	_	17	de_obj	_	_
19	temps	temps	N	NC	g=m|s=c	18	obj	_	_
20	à	à	P	P	_	17	mod	_	_
21	sécher	sécher	V	VINF	m=inf	20	obj	_	_
22	.	.	PONCT	PONCT	s=s	2	ponct	_	_

46|209) Les textiles en chanvre et en bambou font partie des matières très absorbantes et donc plus longues à sécher, en_particulier le chanvre. 
1	Les	le	D	DET	n=p|s=def	2	det	_	_
2	textiles	textile	N	NC	g=m|n=p|s=c	8	suj	_	_
3	en	en	P	P	p=3	2	dep	_	_
4	chanvre	chanvre	N	NC	g=m|n=s|s=c	3	obj	_	_
5	et	et	C	CC	s=c	3	coord	_	_
6	en	en	P	P	p=3	5	dep_coord	_	_
7	bambou	bambou	N	NC	g=m|n=s|s=c	6	obj	_	_
8	font	faire	V	V	m=ind|n=p|p=3|t=pst	0	root	_	_
9	partie	partie	N	NC	g=f|n=s|s=c	8	obj	_	_
10	des	de	P+D	P+D	s=def	9	dep	_	_
11	matières	matière	N	NC	g=f|n=p|s=c	10	obj	_	_
12	très	très	ADV	ADV	_	13	mod	_	_
13	absorbantes	absorbant	A	ADJ	g=f|n=p|s=qual	11	mod	_	_
14	et	et	C	CC	s=c	9	coord	_	_
15	donc	donc	ADV	ADV	_|marker=131	14	mod	_	_
16	plus	plus	ADV	ADV	s=neg	17	mod	_	_
17	longues	long	A	ADJ	g=f|n=p|s=qual	14	dep_coord	_	_
18	à	à	P	P	_	8	mod	_	_
19	sécher	sécher	V	VINF	m=inf	18	obj	_	_
20	,	,	PONCT	PONCT	s=w	19	ponct	_	_
21	en_particulier	en_particulier	ADV	ADV	_|marker=82	19	mod	_	_
22	le	le	D	DET	g=m|n=s|s=def	23	det	_	_
23	chanvre	chanvre	N	NC	g=m|n=s|s=c	19	obj	_	_
24	.	.	PONCT	PONCT	s=s	8	ponct	_	_

47|215) C'_est_pourquoi lorsque l' enfant grandit, il est intéressant d' avoir au_moins 4 à 5 couches très absorbantes( dites« couches de nuit») pour tourner à raison d' une lessive tous les 3-4 jours. 
1	C'_est_pourquoi	c'est_pourquoi	ADV	ADV	_	2	obj	_	_
2	lorsque	lorsque	C	CS	s=s	8	mod	_	_
3	l'	le	D	DET	n=s|s=def	4	det	_	_
4	enfant	enfant	N	NC	n=s|s=c	5	suj	_	_
5	grandit	grandir	V	V	m=ind|n=s|p=3|t=past	2	obj	_	_
6	,	,	PONCT	PONCT	s=w	8	ponct	_	_
7	il	cln	CL	CLS	s=suj	8	suj	_	_
8	est	être	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
9	intéressant	intéressant	A	ADJ	g=m|n=s|s=qual	8	ats	_	_
10	d'	de	P	P	_	8	obj	_	_
11	avoir	avoir	V	VINF	m=inf	10	obj	_	_
12	au_moins	au_moins	ADV	ADV	_|marker=202	11	mod	_	_
13	4	4	D	DET	s=card	11	obj	_	_
14	à	à	P	P	_	11	mod	_	_
15	5	5	D	DET	s=card	16	det	_	_
16	couches	couche	N	NC	g=f|n=p|s=c	14	obj	_	_
17	très	très	ADV	ADV	_	18	mod	_	_
18	absorbantes	absorbant	A	ADJ	g=f|n=p|s=qual	16	mod	_	_
19	(	(	PONCT	PONCT	s=w	16	ponct	_	_
20	dites	dire	V	VPP	g=f|m=part|n=p|t=past	16	mod	_	_
21	«	«	PONCT	PONCT	s=w	16	ponct	_	_
22	couches	couche	N	NC	g=f|n=p|s=c	16	mod	_	_
23	de	de	P	P	_	22	dep	_	_
24	nuit	nuit	N	NC	g=f|n=s|s=c	23	obj	_	_
25	»	»	PONCT	PONCT	s=w	16	ponct	_	_
26	)	)	PONCT	PONCT	s=w	16	ponct	_	_
27	pour	pour	P	P	_	16	dep	_	_
28	tourner	tourner	V	VINF	m=inf	27	obj	_	_
29	à	à	P	P	_	28	mod	_	_
30	raison	raison	N	NC	g=f|n=s|s=c	29	obj	_	_
31	d'	de	P	P	_	30	dep	_	_
32	une	un	D	DET	g=f|n=s|s=ind	33	det	_	_
33	lessive	lessive	N	NC	g=f|n=s|s=c	31	obj	_	_
34	tous	tout	A	ADJ	g=m|n=p|s=ind	37	mod	_	_
35	les	le	D	DET	n=p|s=def	37	det	_	_
36	3-4	3-4	A	ADJ	s=card	37	mod	_	_
37	jours	jours	N	NC	g=m|n=p|s=c	28	obj	_	_
38	.	.	PONCT	PONCT	s=s	8	ponct	_	_

48|223) ) Ton info m' intéresse, donc j' aimerais comprendre. 
1	)	)	PONCT	PONCT	s=w	5	ponct	_	_
2	Ton	son	D	DET	n=s|s=poss	3	det	_	_
3	info	info	N	NC	g=f|n=s|s=c	5	suj	_	_
4	m'	cla	CL	CLO	n=s|s=obj	5	obj	_	_
5	intéresse	intéresser	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
6	,	,	PONCT	PONCT	s=w	5	ponct	_	_
7	donc	donc	ADV	ADV	_|marker=131	5	mod	_	_
8	j'	cln	CL	CLS	s=suj	9	suj	_	_
9	aimerais	aimer	V	V	m=ind|n=s|p=2|t=cond	5	mod	_	_
10	comprendre	comprendre	V	VINF	m=inf	9	obj	_	_
11	.	.	PONCT	PONCT	s=s	5	ponct	_	_

49|225) " J' ai commencé à conduire à 16 ans en conduite accompagnée sur la 21Turbo de mon père, j' ai donc goûté assez jeune au plaisir de conduire une voiture sportive. 
1	"	"	PONCT	PONCT	s=w	4	ponct	_	_
2	J'	cln	CL	CLS	s=suj	4	suj	_	_
3	ai	avoir	V	V	m=ind|n=s|p=1|t=pst	4	aux_tps	_	_
4	commencé	commencer	V	VPP	g=m|m=part|n=s|t=past	0	root	_	_
5	à	à	P	P	_	4	mod	_	_
6	conduire	conduire	V	VINF	m=inf	5	obj	_	_
7	à	à	P	P	_	6	mod	_	_
8	16	16	D	DET	s=card	9	det	_	_
9	ans	an	N	NC	g=m|n=p|s=c	7	obj	_	_
10	en	en	P	P	p=3	9	dep	_	_
11	conduite	conduite	N	NC	g=f|n=s|s=c	10	obj	_	_
12	accompagnée	accompagner	V	VPP	g=f|m=part|n=s|t=past	9	mod	_	_
13	sur	sur	P	P	_	12	mod	_	_
14	la	le	D	DET	g=f|n=s|s=def	15	det	_	_
15	21Turbo	21Turbo	N	NPP	s=p	13	obj	_	_
16	de	de	P	P	_	15	dep	_	_
17	mon	son	D	DET	n=s|s=poss	18	det	_	_
18	père	père	N	NC	g=m|n=s|s=c	16	obj	_	_
19	,	,	PONCT	PONCT	s=w	23	ponct	_	_
20	j'	cln	CL	CLS	s=suj	23	suj	_	_
21	ai	avoir	V	V	m=ind|n=s|p=1|t=pst	23	aux_tps	_	_
22	donc	donc	ADV	ADV	_|marker=131	23	mod	_	_
23	goûté	goûter	V	VPP	g=m|m=part|n=s|t=past	4	mod	_	_
24	assez	assez	ADV	ADV	_	25	mod	_	_
25	jeune	jeune	A	ADJ	n=s|s=qual	23	ats	_	_
26	au	à	P+D	P+D	s=def	25	dep	_	_
27	plaisir	plaisir	N	NC	g=m|n=s|s=c	26	obj	_	_
28	de	de	P	P	_	27	dep	_	_
29	conduire	conduire	V	VINF	m=inf	28	obj	_	_
30	une	un	D	DET	g=f|n=s|s=ind	31	det	_	_
31	voiture	voiture	N	NC	g=f|n=s|s=c	29	obj	_	_
32	sportive	sportif	A	ADJ	g=f|n=s|s=qual	31	mod	_	_
33	.	.	PONCT	PONCT	s=s	4	ponct	_	_

50|226) J' ai donc patienté 10 ans( étudiant, voitures sportives et assureurs faisant rarement bon ménage) jusqu'_à ce mois de mars 2006 où j' ai enfin trouvé la bonne occasion: une ph2 bleue( la couleur était un critère d' achat important) de 112_000 kms d' octobre 1993 
1	J'	cln	CL	CLS	s=suj	4	suj	_	_
2	ai	avoir	V	V	m=ind|n=s|p=1|t=pst	4	aux_tps	_	_
3	donc	donc	ADV	ADV	_|marker=131	4	mod	_	_
4	patienté	patienter	V	VPP	g=m|m=part|n=s|t=past	0	root	_	_
5	10	10	D	DET	s=card	6	det	_	_
6	ans	an	N	NC	g=m|n=p|s=c	4	obj	_	_
7	(	(	PONCT	PONCT	s=w	4	ponct	_	_
8	étudiant	étudiant	N	NC	g=m|n=s|s=c	4	mod	_	_
9	,	,	PONCT	PONCT	s=w	4	ponct	_	_
10	voitures	voiture	N	NC	g=f|n=p|s=c	4	mod	_	_
11	sportives	sportif	A	ADJ	g=f|n=p|s=qual	10	mod	_	_
12	et	et	C	CC	s=c	10	coord	_	_
13	assureurs	assureur	N	NC	g=m|n=p|s=c	12	dep_coord	_	_
14	faisant	faire	V	VPR	m=part|t=pst	13	mod	_	_
15	rarement	rarement	ADV	ADV	_	14	mod	_	_
16	bon	bon	A	ADJ	g=m|n=s|s=qual	17	mod	_	_
17	ménage	ménage	N	NC	g=m|n=s|s=c	14	obj	_	_
18	)	)	PONCT	PONCT	s=w	4	ponct	_	_
19	jusqu'_à	jusqu'à	P	P	_	4	mod	_	_
20	ce	ce	D	DET	g=m|n=s|s=dem	21	det	_	_
21	mois	mois	N	NC	g=m|s=c	19	obj	_	_
22	de	de	P	P	_	21	dep	_	_
23	mars	mars	N	NC	g=m|s=c	22	obj	_	_
24	2006	2006	A	ADJ	s=card	23	mod	_	_
25	où	où	PRO	PROREL	s=rel	29	obj	_	_
26	j'	cln	CL	CLS	s=suj	29	suj	_	_
27	ai	avoir	V	V	m=ind|n=s|p=1|t=pst	29	aux_tps	_	_
28	enfin	enfin	ADV	ADV	_|marker=265	29	mod	_	_
29	trouvé	trouver	V	VPP	g=m|m=part|n=s|t=past	21	mod_rel	_	_
30	la	le	D	DET	g=f|n=s|s=def	32	det	_	_
31	bonne	bon	A	ADJ	g=f|n=s|s=qual	32	mod	_	_
32	occasion	occasion	N	NC	g=f|n=s|s=c	29	obj	_	_
33	:	:	PONCT	PONCT	s=w	4	ponct	_	_
34	une	un	D	DET	g=f|n=s|s=ind	35	det	_	_
35	ph2	ph2	N	NC	s=c	4	obj	_	_
36	bleue	bleu	A	ADJ	g=f|n=s|s=qual	35	mod	_	_
37	(	(	PONCT	PONCT	s=w	35	ponct	_	_
38	la	le	D	DET	g=f|n=s|s=def	39	det	_	_
39	couleur	couleur	N	NC	g=f|n=s|s=c	35	mod	_	_
40	était	être	V	V	m=ind|n=s|p=3|t=impft	4	mod	_	_
41	un	un	D	DET	g=m|n=s|s=ind	42	det	_	_
42	critère	critère	N	NC	g=m|n=s|s=c	40	suj	_	_
43	d'	de	P	P	_	42	dep	_	_
44	achat	achat	N	NC	g=m|n=s|s=c	43	obj	_	_
45	important	important	A	ADJ	g=m|n=s|s=qual	44	mod	_	_
46	)	)	PONCT	PONCT	s=w	42	ponct	_	_
47	de	de	P	P	_	42	dep	_	_
48	112_000	112_000	D	DET	_	49	det	_	_
49	kms	kms	N	NC	s=c	47	obj	_	_
50	d'	de	P	P	_	49	dep	_	_
51	octobre	octobre	N	NC	g=m|n=s|s=c	50	obj	_	_
52	1993	1993	N	NC	s=c	51	mod	_	_

51|228) ?" C' est ma seule voiture, qui me sert donc aussi bien le WE que le reste de la semaine 
1	?	?	PONCT	PONCT	s=s	4	ponct	_	_
2	"	"	PONCT	PONCT	s=w	4	ponct	_	_
3	C'	cln	CL	CLS	s=suj	4	suj	_	_
4	est	être	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
5	ma	son	D	DET	g=f|n=s|s=poss	7	det	_	_
6	seule	seul	A	ADJ	g=f|n=s|s=qual	7	mod	_	_
7	voiture	voiture	N	NC	g=f|n=s|s=c	4	ats	_	_
8	,	,	PONCT	PONCT	s=w	7	ponct	_	_
9	qui	qui	PRO	PROREL	s=rel	14	suj	_	_
10	me	clad	CL	CLO	s=obj	14	mod	_	_
11	sert	servir	V	V	m=ind|n=s|p=3|t=pst	14	dep	_	_
12	donc	donc	ADV	ADV	_|marker=131	14	mod	_	_
13	aussi	aussi	ADV	ADV	_|marker=208	14	mod	_	_
14	bien	bien	ADV	ADV	_	16	mod	_	_
15	le	le	D	DET	g=m|n=s|s=def	16	det	_	_
16	WE	WE	N	NPP	s=p	7	mod	_	_
17	que	que	C	CS	s=s	16	dep	_	_
18	le	le	D	DET	g=m|n=s|s=def	19	det	_	_
19	reste	reste	N	NC	g=m|n=s|s=c	0	root	_	_
20	de	de	P	P	_	19	dep	_	_
21	la	le	D	DET	g=f|n=s|s=def	22	det	_	_
22	semaine	semaine	N	NC	s=c	20	obj	_	_

52|228) ?" C' est ma seule voiture, qui me sert donc aussi bien le WE que le reste de la semaine 
1	?	?	PONCT	PONCT	s=s	4	ponct	_	_
2	"	"	PONCT	PONCT	s=w	4	ponct	_	_
3	C'	cln	CL	CLS	s=suj	4	suj	_	_
4	est	être	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
5	ma	son	D	DET	g=f|n=s|s=poss	7	det	_	_
6	seule	seul	A	ADJ	g=f|n=s|s=qual	7	mod	_	_
7	voiture	voiture	N	NC	g=f|n=s|s=c	4	ats	_	_
8	,	,	PONCT	PONCT	s=w	7	ponct	_	_
9	qui	qui	PRO	PROREL	s=rel	14	suj	_	_
10	me	clad	CL	CLO	s=obj	14	mod	_	_
11	sert	servir	V	V	m=ind|n=s|p=3|t=pst	14	dep	_	_
12	donc	donc	ADV	ADV	_|marker=131	14	mod	_	_
13	aussi	aussi	ADV	ADV	_|marker=208	14	mod	_	_
14	bien	bien	ADV	ADV	_	16	mod	_	_
15	le	le	D	DET	g=m|n=s|s=def	16	det	_	_
16	WE	WE	N	NPP	s=p	7	mod	_	_
17	que	que	C	CS	s=s	16	dep	_	_
18	le	le	D	DET	g=m|n=s|s=def	19	det	_	_
19	reste	reste	N	NC	g=m|n=s|s=c	0	root	_	_
20	de	de	P	P	_	19	dep	_	_
21	la	le	D	DET	g=f|n=s|s=def	22	det	_	_
22	semaine	semaine	N	NC	s=c	20	obj	_	_

53|234) Attention aussi aux ailes arrière qui ont tendance à rouiller facilement. 
1	Attention	attention	N	NC	g=f|n=s|s=c	0	root	_	_
2	aussi	aussi	ADV	ADV	_|marker=208	1	mod	_	_
3	aux	à	P+D	P+D	s=def	1	dep	_	_
4	ailes	aile	N	NC	g=f|n=p|s=c	3	obj	_	_
5	arrière	arrière	A	ADJ	s=qual	4	mod	_	_
6	qui	qui	PRO	PROREL	s=rel	7	suj	_	_
7	ont	avoir	V	V	m=ind|n=p|p=3|t=pst	4	mod_rel	_	_
8	tendance	tendance	N	NC	g=f|n=s|s=c	7	obj	_	_
9	à	à	P	P	_	7	mod	_	_
10	rouiller	rouiller	V	VINF	m=inf	9	obj	_	_
11	facilement	facilement	ADV	ADV	_	10	mod	_	_
12	.	.	PONCT	PONCT	s=s	1	ponct	_	_

54|239) Donc c' est à eux que s' adresse cette partie du message! 
1	Donc	donc	ADV	ADV	_	3	mod	_	_
2	c'	cln	CL	CLS	s=suj	3	suj	_	_
3	est	être	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
4	à	à	P	P	_	3	mod	_	_
5	eux	lui	PRO	PRO	g=m|n=p|s=pers	4	obj	_	_
6	que	que	PRO	PROREL	s=rel	8	obj	_	_
7	s'	se	CL	CLR	p=3|s=refl	8	aff	_	_
8	adresse	adresser	V	V	m=ind|n=s|p=3|t=pst	5	mod_rel	_	_
9	cette	ce	D	DET	g=f|n=s|s=dem	10	det	_	_
10	partie	partie	N	NC	g=f|n=s|s=c	8	suj	_	_
11	du	de	P+D	P+D	s=def	10	dep	_	_
12	message	message	N	NC	g=m|n=s|s=c	11	obj	_	_
13	!	!	PONCT	PONCT	s=s	3	ponct	_	_

55|256) ner ou pour y prendre un verre est aussi le meilleur moyen de croiser les illustres propriétaires. 
1	ner	ner	V	VINF	m=inf	0	root	_	_
2	ou	ou	C	CC	s=c	0	root	_	_
3	pour	pour	P	P	_	8	mod	_	_
4	y	y	CL	CLO	p=3|s=obj	5	p_obj	_	_
5	prendre	prendre	V	VINF	m=inf	3	obj	_	_
6	un	un	D	DET	g=m|n=s|s=ind	7	det	_	_
7	verre	verre	N	NC	g=m|n=s|s=c	5	obj	_	_
8	est	être	V	V	m=ind|n=s|p=3|t=pst	2	dep_coord	_	_
9	aussi	aussi	ADV	ADV	_|marker=208	8	mod	_	_
10	le	le	D	DET	g=m|n=s|s=def	12	det	_	_
11	meilleur	meilleur	A	ADJ	g=m|n=s|s=qual	12	mod	_	_
12	moyen	moyen	N	NC	g=m|n=s|s=c	8	ats	_	_
13	de	de	P	P	_	12	dep	_	_
14	croiser	croiser	V	VINF	m=inf	13	obj	_	_
15	les	le	D	DET	n=p|s=def	17	det	_	_
16	illustres	illustre	A	ADJ	n=p|s=qual	17	mod	_	_
17	propriétaires	propriétaire	N	NC	n=p|s=c	14	obj	_	_
18	.	.	PONCT	PONCT	s=s	2	ponct	_	_

56|258) On propose aussi des dîners express en avant match et il_y_a trois bars avec retransmission des rencontres dont un en terrasse( génial pour la Coupe du Monde! 
1	On	cln	CL	CLS	s=suj	2	suj	_	_
2	propose	proposer	V	V	m=ind|n=s|p=3|t=pst	0	root	_	_
3	aussi	aussi	ADV	ADV	_|marker=208	2	mod	_	_
4	des	de	D	DET	_	5	det	_	_
5	dîners	dîner	N	NC	g=m|n=p|s=c	2	obj	_	_
6	express	express	N	NC	g=m|s=c	5	mod	_	_
7	en	en	P	P	p=3	2	mod	_	_
8	avant	avant	P	P	_	7	mod	_	_
9	match	match	N	NC	g=m|n=s|s=c	8	obj	_	_
